"File","Parameter","Value","OriginalValue","Type","IsSensitive","Description"
"/ops-service/target/classes/application.yml","enabled","false","false","Boolean","False",""
"/ops-service/target/classes/application.yml","url","jdbc:postgresql://${DB_HOST:8.137.116.121}:${DB_PORT:8432}/${DB_NAME:business_db}","jdbc:postgresql://${DB_HOST:8.137.116.121}:${DB_PORT:8432}/${DB_NAME:business_db}","String","False",""
"/ops-service/target/classes/application.yml","username","${DB_USERNAME:business}","${DB_USERNAME:business}","String","False",""
"/ops-service/target/classes/application.yml","password","${****4}","${DB_PASSWORD:NewPass2024}","String","True",""
"/ops-service/target/classes/application.yml","driver-class-name","org.postgresql.Driver","org.postgresql.Driver","String","False",""
"/ops-service/target/classes/application.yml","maximum-pool-size","5","5","Number","False",""
"/ops-service/target/classes/application.yml","minimum-idle","1","1","Number","False",""
"/ops-service/target/classes/application.yml","ddl-auto","none","none","String","False",""
"/ops-service/target/classes/application.yml","show-sql","false","false","Boolean","False",""
"/ops-service/target/classes/application.yml","probability","1.0","1.0","String","False",""
"/ops-service/target/classes/application.yml","base-url","http://localhost:9411","http://localhost:9411","String","False",""
"/ops-service/target/classes/application.yml","secret","${****n}","${JWT_SECRET:OpsServiceJWTSecretKey2024ChangeInProduction}","String","True",""
"/ops-service/target/classes/application.yml","expiration","86400000","86400000","Number","False",""
"/ops-service/target/classes/application.yml","include","""*""","""*""","String","False",""
"/ops-service/target/classes/application.yml","show-details","always","always","String","False",""
"/ops-service/target/classes/application.yml","root","INFO","INFO","String","False",""
"/ops-service/target/classes/application.yml","com.example.ops","DEBUG","DEBUG","String","False",""
"/knowledge-service/src/main/resources/application.yml","port","8092","8092","Number","False",""
"/knowledge-service/src/main/resources/application.yml","address","0.0.0.0","0.0.0.0","String","False",""
"/knowledge-service/src/main/resources/application.yml","name","knowledge-service","knowledge-service","String","False",""
"/knowledge-service/src/main/resources/application.yml","enabled","true","true","Boolean","False",""
"/knowledge-service/src/main/resources/application.yml","server-addr","localhost:8848","localhost:8848","String","False",""
"/knowledge-service/src/main/resources/application.yml","url","jdbc:postgresql://8.137.116.121:8432/business_db","jdbc:postgresql://8.137.116.121:8432/business_db","String","False",""
"/knowledge-service/src/main/resources/application.yml","username","business","business","String","False",""
"/knowledge-service/src/main/resources/application.yml","password","Ne****24","NewPass2024","String","True",""
"/knowledge-service/src/main/resources/application.yml","driver-class-name","org.postgresql.Driver","org.postgresql.Driver","String","False",""
"/knowledge-service/src/main/resources/application.yml","ddl-auto","update","update","String","False",""
"/knowledge-service/src/main/resources/application.yml","show-sql","false","false","Boolean","False",""
"/knowledge-service/src/main/resources/application.yml","dialect","org.hibernate.dialect.PostgreSQLDialect","org.hibernate.dialect.PostgreSQLDialect","String","False",""
"/knowledge-service/src/main/resources/application.yml","secret","${****4}","${JWT_SECRET:KnowledgeServiceJWTSecretKey2024}","String","True",""
"/knowledge-service/src/main/resources/application.yml","expiration","86400000","86400000","Number","False",""
"/knowledge-service/src/main/resources/application.yml","com.example.knowledge","INFO","INFO","String","False",""
"/knowledge-service/target/classes/application.yml","port","8092","8092","Number","False",""
"/knowledge-service/target/classes/application.yml","address","0.0.0.0","0.0.0.0","String","False",""
"/knowledge-service/target/classes/application.yml","name","knowledge-service","knowledge-service","String","False",""
"/knowledge-service/target/classes/application.yml","enabled","true","true","Boolean","False",""
"/knowledge-service/target/classes/application.yml","server-addr","localhost:8848","localhost:8848","String","False",""
"/knowledge-service/target/classes/application.yml","url","jdbc:postgresql://8.137.116.121:8432/business_db","jdbc:postgresql://8.137.116.121:8432/business_db","String","False",""
"/knowledge-service/target/classes/application.yml","username","business","business","String","False",""
"/knowledge-service/target/classes/application.yml","password","Ne****24","NewPass2024","String","True",""
"/knowledge-service/target/classes/application.yml","driver-class-name","org.postgresql.Driver","org.postgresql.Driver","String","False",""
"/knowledge-service/target/classes/application.yml","ddl-auto","update","update","String","False",""
"/knowledge-service/target/classes/application.yml","show-sql","false","false","Boolean","False",""
"/knowledge-service/target/classes/application.yml","dialect","org.hibernate.dialect.PostgreSQLDialect","org.hibernate.dialect.PostgreSQLDialect","String","False",""
"/knowledge-service/target/classes/application.yml","secret","${****4}","${JWT_SECRET:KnowledgeServiceJWTSecretKey2024}","String","True",""
"/knowledge-service/target/classes/application.yml","expiration","86400000","86400000","Number","False",""
"/knowledge-service/target/classes/application.yml","com.example.knowledge","INFO","INFO","String","False",""
"/chat-service/src/main/resources/application.yml","port","8093","8093","Number","False",""
"/chat-service/src/main/resources/application.yml","address","0.0.0.0","0.0.0.0","String","False",""
"/chat-service/src/main/resources/application.yml","name","chat-service","chat-service","String","False",""
"/chat-service/src/main/resources/application.yml","enabled","true","true","Boolean","False",""
"/chat-service/src/main/resources/application.yml","server-addr","localhost:8848","localhost:8848","String","False",""
"/chat-service/src/main/resources/application.yml","url","jdbc:postgresql://8.137.116.121:8432/business_db","jdbc:postgresql://8.137.116.121:8432/business_db","String","False",""
"/chat-service/src/main/resources/application.yml","username","business","business","String","False",""
"/chat-service/src/main/resources/application.yml","password","Ne****24","NewPass2024","String","True",""
"/chat-service/src/main/resources/application.yml","driver-class-name","org.postgresql.Driver","org.postgresql.Driver","String","False",""
"/chat-service/src/main/resources/application.yml","ddl-auto","update","update","String","False",""
"/chat-service/src/main/resources/application.yml","show-sql","false","false","Boolean","False",""
"/chat-service/src/main/resources/application.yml","dialect","org.hibernate.dialect.PostgreSQLDialect","org.hibernate.dialect.PostgreSQLDialect","String","False",""
"/chat-service/src/main/resources/application.yml","secret","${****4}","${JWT_SECRET:ChatServiceJWTSecretKey2024}","String","True",""
"/chat-service/src/main/resources/application.yml","expiration","86400000","86400000","Number","False",""
"/chat-service/src/main/resources/application.yml","enabled","false","false","Boolean","False",""
"/chat-service/src/main/resources/application.yml","provider","openai","openai","String","False",""
"/chat-service/src/main/resources/application.yml","key","${****:}","${LLM_API_KEY:}","String","True",""
"/chat-service/src/main/resources/application.yml","endpoint","${LLM_API_ENDPOINT:https://api.openai.com/v1}","${LLM_API_ENDPOINT:https://api.openai.com/v1}","String","False",""
"/chat-service/src/main/resources/application.yml","model","${LLM_MODEL:gpt-3.5-turbo}","${LLM_MODEL:gpt-3.5-turbo}","String","False",""
"/chat-service/src/main/resources/application.yml","temperature","0.7","0.7","String","False",""
"/chat-service/src/main/resources/application.yml","max_tokens","****","2000","Number","True",""
"/chat-service/src/main/resources/application.yml","com.example.chat","INFO","INFO","String","False",""
"/chat-service/target/classes/application.yml","port","8093","8093","Number","False",""
"/chat-service/target/classes/application.yml","address","0.0.0.0","0.0.0.0","String","False",""
"/chat-service/target/classes/application.yml","name","chat-service","chat-service","String","False",""
"/chat-service/target/classes/application.yml","enabled","true","true","Boolean","False",""
"/chat-service/target/classes/application.yml","server-addr","localhost:8848","localhost:8848","String","False",""
"/chat-service/target/classes/application.yml","url","jdbc:postgresql://8.137.116.121:8432/business_db","jdbc:postgresql://8.137.116.121:8432/business_db","String","False",""
"/chat-service/target/classes/application.yml","username","business","business","String","False",""
"/chat-service/target/classes/application.yml","password","Ne****24","NewPass2024","String","True",""
"/chat-service/target/classes/application.yml","driver-class-name","org.postgresql.Driver","org.postgresql.Driver","String","False",""
"/chat-service/target/classes/application.yml","ddl-auto","update","update","String","False",""
"/chat-service/target/classes/application.yml","show-sql","false","false","Boolean","False",""
"/chat-service/target/classes/application.yml","dialect","org.hibernate.dialect.PostgreSQLDialect","org.hibernate.dialect.PostgreSQLDialect","String","False",""
"/chat-service/target/classes/application.yml","secret","${****4}","${JWT_SECRET:ChatServiceJWTSecretKey2024}","String","True",""
"/chat-service/target/classes/application.yml","expiration","86400000","86400000","Number","False",""
"/chat-service/target/classes/application.yml","enabled","false","false","Boolean","False",""
"/chat-service/target/classes/application.yml","provider","openai","openai","String","False",""
"/chat-service/target/classes/application.yml","key","${****:}","${LLM_API_KEY:}","String","True",""
"/chat-service/target/classes/application.yml","endpoint","${LLM_API_ENDPOINT:https://api.openai.com/v1}","${LLM_API_ENDPOINT:https://api.openai.com/v1}","String","False",""
"/chat-service/target/classes/application.yml","model","${LLM_MODEL:gpt-3.5-turbo}","${LLM_MODEL:gpt-3.5-turbo}","String","False",""
"/chat-service/target/classes/application.yml","temperature","0.7","0.7","String","False",""
"/chat-service/target/classes/application.yml","max_tokens","****","2000","Number","True",""
"/chat-service/target/classes/application.yml","com.example.chat","INFO","INFO","String","False",""
"/notification-service/src/main/resources/application.yml","port","8094","8094","Number","False",""
"/notification-service/src/main/resources/application.yml","address","0.0.0.0","0.0.0.0","String","False",""
"/notification-service/src/main/resources/application.yml","name","notification-service","notification-service","String","False",""
"/notification-service/src/main/resources/application.yml","enabled","true","true","Boolean","False",""
"/notification-service/src/main/resources/application.yml","server-addr","localhost:8848","localhost:8848","String","False",""
"/notification-service/src/main/resources/application.yml","url","jdbc:postgresql://8.137.116.121:8432/business_db","jdbc:postgresql://8.137.116.121:8432/business_db","String","False",""
"/notification-service/src/main/resources/application.yml","username","business","business","String","False",""
"/notification-service/src/main/resources/application.yml","password","Ne****24","NewPass2024","String","True",""
"/notification-service/src/main/resources/application.yml","driver-class-name","org.postgresql.Driver","org.postgresql.Driver","String","False",""
"/notification-service/src/main/resources/application.yml","ddl-auto","update","update","String","False",""
"/notification-service/src/main/resources/application.yml","show-sql","false","false","Boolean","False",""
"/notification-service/src/main/resources/application.yml","dialect","org.hibernate.dialect.PostgreSQLDialect","org.hibernate.dialect.PostgreSQLDialect","String","False",""
"/notification-service/src/main/resources/application.yml","secret","${****4}","${JWT_SECRET:NotificationServiceJWTSecretKey2024}","String","True",""
"/notification-service/src/main/resources/application.yml","expiration","86400000","86400000","Number","False",""
"/notification-service/src/main/resources/application.yml","com.example.notification","INFO","INFO","String","False",""
"/notification-service/target/classes/application.yml","port","8094","8094","Number","False",""
"/notification-service/target/classes/application.yml","address","0.0.0.0","0.0.0.0","String","False",""
"/notification-service/target/classes/application.yml","name","notification-service","notification-service","String","False",""
"/notification-service/target/classes/application.yml","enabled","true","true","Boolean","False",""
"/notification-service/target/classes/application.yml","server-addr","localhost:8848","localhost:8848","String","False",""
"/notification-service/target/classes/application.yml","url","jdbc:postgresql://8.137.116.121:8432/business_db","jdbc:postgresql://8.137.116.121:8432/business_db","String","False",""
"/notification-service/target/classes/application.yml","username","business","business","String","False",""
"/notification-service/target/classes/application.yml","password","Ne****24","NewPass2024","String","True",""
"/notification-service/target/classes/application.yml","driver-class-name","org.postgresql.Driver","org.postgresql.Driver","String","False",""
"/notification-service/target/classes/application.yml","ddl-auto","update","update","String","False",""
"/notification-service/target/classes/application.yml","show-sql","false","false","Boolean","False",""
"/notification-service/target/classes/application.yml","dialect","org.hibernate.dialect.PostgreSQLDialect","org.hibernate.dialect.PostgreSQLDialect","String","False",""
"/notification-service/target/classes/application.yml","secret","${****4}","${JWT_SECRET:NotificationServiceJWTSecretKey2024}","String","True",""
"/notification-service/target/classes/application.yml","expiration","86400000","86400000","Number","False",""
"/notification-service/target/classes/application.yml","com.example.notification","INFO","INFO","String","False",""
"/workflow-service/src/main/resources/application.yml","port","8091","8091","Number","False",""
"/workflow-service/src/main/resources/application.yml","address","0.0.0.0","0.0.0.0","String","False",""
"/workflow-service/src/main/resources/application.yml","name","workflow-service","workflow-service","String","False",""
"/workflow-service/src/main/resources/application.yml","enabled","true","true","Boolean","False",""
"/workflow-service/src/main/resources/application.yml","server-addr","localhost:8848","localhost:8848","String","False",""
"/workflow-service/src/main/resources/application.yml","url","jdbc:postgresql://8.137.116.121:8432/business_db","jdbc:postgresql://8.137.116.121:8432/business_db","String","False",""
"/workflow-service/src/main/resources/application.yml","username","business","business","String","False",""
"/workflow-service/src/main/resources/application.yml","password","Ne****24","NewPass2024","String","True",""
"/workflow-service/src/main/resources/application.yml","driver-class-name","org.postgresql.Driver","org.postgresql.Driver","String","False",""
"/workflow-service/src/main/resources/application.yml","ddl-auto","update","update","String","False",""
"/workflow-service/src/main/resources/application.yml","show-sql","false","false","Boolean","False",""
"/workflow-service/src/main/resources/application.yml","dialect","org.hibernate.dialect.PostgreSQLDialect","org.hibernate.dialect.PostgreSQLDialect","String","False",""
"/workflow-service/src/main/resources/application.yml","secret","${****4}","${JWT_SECRET:WorkflowServiceJWTSecretKey2024}","String","True",""
"/workflow-service/src/main/resources/application.yml","expiration","86400000","86400000","Number","False",""
"/workflow-service/src/main/resources/application.yml","com.example.workflow","INFO","INFO","String","False",""
"/workflow-service/src/main/resources/application.yml","org.springframework.web","INFO","INFO","String","False",""
"/workflow-service/target/classes/application.yml","port","8091","8091","Number","False",""
"/workflow-service/target/classes/application.yml","address","0.0.0.0","0.0.0.0","String","False",""
"/workflow-service/target/classes/application.yml","name","workflow-service","workflow-service","String","False",""
"/workflow-service/target/classes/application.yml","enabled","true","true","Boolean","False",""
"/workflow-service/target/classes/application.yml","server-addr","localhost:8848","localhost:8848","String","False",""
"/workflow-service/target/classes/application.yml","url","jdbc:postgresql://8.137.116.121:8432/business_db","jdbc:postgresql://8.137.116.121:8432/business_db","String","False",""
"/workflow-service/target/classes/application.yml","username","business","business","String","False",""
"/workflow-service/target/classes/application.yml","password","Ne****24","NewPass2024","String","True",""
"/workflow-service/target/classes/application.yml","driver-class-name","org.postgresql.Driver","org.postgresql.Driver","String","False",""
"/workflow-service/target/classes/application.yml","ddl-auto","update","update","String","False",""
"/workflow-service/target/classes/application.yml","show-sql","false","false","Boolean","False",""
"/workflow-service/target/classes/application.yml","dialect","org.hibernate.dialect.PostgreSQLDialect","org.hibernate.dialect.PostgreSQLDialect","String","False",""
"/workflow-service/target/classes/application.yml","secret","${****4}","${JWT_SECRET:WorkflowServiceJWTSecretKey2024}","String","True",""
"/workflow-service/target/classes/application.yml","expiration","86400000","86400000","Number","False",""
"/workflow-service/target/classes/application.yml","com.example.workflow","INFO","INFO","String","False",""
"/workflow-service/target/classes/application.yml","org.springframework.web","INFO","INFO","String","False",""
